"RANKINDEX","PrePRODUCT_ID","PrePRODUCT_NAME","PreCATEGORY","PreBRAND","PreCOST_PRICE","PreUNIT_PRICE","TRANSACTION_ID","STORE_ID","TRANSACTION_DATE","PRODUCT_ID","QUANTITY","DISCOUNT_PERCENT","f","o_YEAR","o_MONTH","TOTAL_QUANTITY"
25,"P_049","Product 049","Grocery","BrandD","372.65","441.43","113265","102","10/19/2024","P_049","4","0",,"2024","10","42"
28,"P_031","Product 031","Clothing","BrandD","69.33","125.63","113234","108","10/30/2024","P_031","1","15",,"2024","10","43"
29,"P_007","Product 007","Clothing","BrandD","133.42","217.47","113279","101","10/28/2024","P_007","2","10",,"2024","10","44"
30,"P_017","Product 017","Home","BrandB","314.84","458.33","113276","101","10/27/2024","P_017","5","20",,"2024","10","45"
30,"P_029","Product 029","Home","BrandB","316.8","425.97","113232","106","10/2/2024","P_029","4","20",,"2024","10","45"
32,"P_002","Product 002","Sports","BrandC","165.08","307.45","113278","101","10/13/2024","P_002","3","5",,"2024","10","46"
33,"P_022","Product 022","Sports","BrandB","188.76","337.73","113259","105","10/1/2024","P_022","4","0",,"2024","10","49"
33,"P_039","Product 039","Electronics","BrandD","179.34","242.93","113235","107","10/3/2024","P_039","1","0",,"2024","10","49"
33,"P_046","Product 046","Electronics","BrandB","276","472","113235","108","10/3/2024","P_046","2","10",,"2024","10","49"
36,"P_014","Product 014","Grocery","BrandD","191.33","306.92","113237","101","10/15/2024","P_014","1","10",,"2024","10","51"
36,"P_045","Product 045","Grocery","BrandA","68.92","109.5","113239","106","10/26/2024","P_045","5","5",,"2024","10","51"
38,"P_044","Product 044","Grocery","BrandD","145.03","274.52","113255","101","10/31/2024","P_044","1","10",,"2024","10","52"
39,"P_013","Product 013","Sports","BrandB","198.67","397.19","113251","102","10/3/2024","P_013","1","20",,"2024","10","53"
40,"P_036","Product 036","Sports","BrandD","115.24","225.27","113231","107","10/28/2024","P_036","1","10",,"2024","10","54"
41,"P_009","Product 009","Clothing","BrandC","96.09","153.81","113233","105","10/10/2024","P_009","5","20",,"2024","10","55"
42,"P_020","Product 020","Home","BrandB","33.73","56.75","113249","104","10/9/2024","P_020","5","10",,"2024","10","56"
42,"P_033","Product 033","Home","BrandC","17.69","29.81","113239","101","10/26/2024","P_033","5","20",,"2024","10","56"
44,"P_006","Product 006","Grocery","BrandA","14.29","17.66","113267","101","10/23/2024","P_006","2","0",,"2024","10","57"
44,"P_025","Product 025","Electronics","BrandB","92.74","144.61","113245","101","10/30/2024","P_025","3","20",,"2024","10","57"
46,"P_016","Product 016","Grocery","BrandB","183.48","329.03","113260","101","10/27/2024","P_016","4","0",,"2024","10","60"
47,"P_018","Product 018","Sports","BrandB","285.64","426.52","113244","105","10/31/2024","P_018","1","10",,"2024","10","62"
47,"P_042","Product 042","Electronics","BrandD","54.28","78.27","113256","106","10/19/2024","P_042","4","10",,"2024","10","62"
49,"P_047","Product 047","Grocery","BrandC","237.02","303.44","113268","108","10/25/2024","P_047","5","15",,"2024","10","66"
50,"P_048","Product 048","Sports","BrandA","232.9","350.44","113242","108","10/4/2024","P_048","5","15",,"2024","10","81"
1,"P_001","Product 001","Home","BrandD","291.46","482.98","113764","104","11/27/2024","P_001","1","20",,"2024","11","26"
2,"P_025","Product 025","Electronics","BrandB","92.74","144.61","113729","102","11/9/2024","P_025","2","15",,"2024","11","29"
2,"P_049","Product 049","Grocery","BrandD","372.65","441.43","113817","107","11/16/2024","P_049","3","0",,"2024","11","29"
4,"P_009","Product 009","Clothing","BrandC","96.09","153.81","113732","106","11/23/2024","P_009","4","10",,"2024","11","31"
5,"P_014","Product 014","Grocery","BrandD","191.33","306.92","113784","105","11/7/2024","P_014","2","15",,"2024","11","33"
5,"P_023","Product 023","Home","BrandA","193.9","336.3","113746","106","11/4/2024","P_023","1","0",,"2024","11","33"
7,"P_006","Product 006","Grocery","BrandA","14.29","17.66","113758","106","11/23/2024","P_006","3","10",,"2024","11","34"
8,"P_007","Product 007","Clothing","BrandD","133.42","217.47","113799","102","11/1/2024","P_007","2","10",,"2024","11","36"
8,"P_032","Product 032","Home","BrandB","115.04","135.47","113737","104","11/11/2024","P_032","3","0",,"2024","11","36"
8,"P_046","Product 046","Electronics","BrandB","276","472","113870","106","11/15/2024","P_046","2","10",,"2024","11","36"
11,"P_005","Product 005","Sports","BrandD","58.75","90.98","113752","104","11/2/2024","P_005","1","20",,"2024","11","37"
11,"P_010","Product 010","Sports","BrandB","13.81","16.9","113730","106","11/3/2024","P_010","5","0",,"2024","11","37"
11,"P_015","Product 015","Home","BrandD","281.43","463.89","113764","106","11/27/2024","P_015","4","15",,"2024","11","37"
11,"P_026","Product 026","Clothing","BrandB","148.98","285.01","113783","103","11/17/2024","P_026","5","15",,"2024","11","37"
15,"P_030","Product 030","Home","BrandB","272.48","363.65","113755","104","11/16/2024","P_030","1","20",,"2024","11","38"
15,"P_031","Product 031","Clothing","BrandD","69.33","125.63","113731","108","11/14/2024","P_031","1","10",,"2024","11","38"
17,"P_008","Product 008","Clothing","BrandC","110.44","203.49","113785","103","11/4/2024","P_008","4","0",,"2024","11","39"
17,"P_012","Product 012","Clothing","BrandD","260.56","358.56","113763","108","11/18/2024","P_012","5","20",,"2024","11","39"
17,"P_028","Product 028","Grocery","BrandB","285.08","486.14","113758","103","11/23/2024","P_028","5","5",,"2024","11","39"
20,"P_003","Product 003","Clothing","BrandD","95.83","145.24","113819","106","11/26/2024","P_003","4","10",,"2024","11","41"
20,"P_016","Product 016","Grocery","BrandB","183.48","329.03","113731","102","11/14/2024","P_016","4","15",,"2024","11","41"
22,"P_033","Product 033","Home","BrandC","17.69","29.81","113802","105","11/7/2024","P_033","1","20",,"2024","11","42"
23,"P_044","Product 044","Grocery","BrandD","145.03","274.52","113745","104","11/7/2024","P_044","1","0",,"2024","11","44"
24,"P_018","Product 018","Sports","BrandB","285.64","426.52","113772","105","11/20/2024","P_018","4","0",,"2024","11","45"
24,"P_021","Product 021","Grocery","BrandD","112.23","191.7","113761","106","11/5/2024","P_021","2","15",,"2024","11","45"
24,"P_045","Product 045","Grocery","BrandA","68.92","109.5","113734","106","11/19/2024","P_045","3","5",,"2024","11","45"
27,"P_038","Product 038","Sports","BrandC","324.13","448.92","113790","102","11/3/2024","P_038","5","10",,"2024","11","47"
27,"P_043","Product 043","Home","BrandA","216.59","306.16","113765","101","11/9/2024","P_043","5","5",,"2024","11","47"
29,"P_013","Product 013","Sports","BrandB","198.67","397.19","113734","105","11/19/2024","P_013","1","5",,"2024","11","48"
29,"P_035","Product 035","Clothing","BrandC","41.43","64.34","113738","101","11/25/2024","P_035","3","0",,"2024","11","48"
31,"P_042","Product 042","Electronics","BrandD","54.28","78.27","113728","103","11/12/2024","P_042","5","15",,"2024","11","50"
32,"P_034","Product 034","Electronics","BrandD","301.56","358.22","113733","105","11/22/2024","P_034","2","15",,"2024","11","51"
33,"P_047","Product 047","Grocery","BrandC","237.02","303.44","113866","102","11/11/2024","P_047","5","5",,"2024","11","52"
34,"P_024","Product 024","Electronics","BrandC","208.42","299.74","113732","104","11/23/2024","P_024","2","0",,"2024","11","53"
35,"P_037","Product 037","Clothing","BrandB","67.57","108.84","113730","104","11/3/2024","P_037","3","20",,"2024","11","54"
35,"P_039","Product 039","Electronics","BrandD","179.34","242.93","113741","104","11/6/2024","P_039","3","0",,"2024","11","54"
35,"P_040","Product 040","Grocery","BrandA","196.15","286.01","113761","106","11/5/2024","P_040","3","15",,"2024","11","54"
38,"P_020","Product 020","Home","BrandB","33.73","56.75","113736","106","11/21/2024","P_020","4","0",,"2024","11","56"
39,"P_027","Product 027","Clothing","BrandD","116.38","197.63","113795","103","11/24/2024","P_027","5","5",,"2024","11","58"
39,"P_041","Product 041","Home","BrandB","230.38","350.8","113791","105","11/3/2024","P_041","5","15",,"2024","11","58"
41,"P_022","Product 022","Sports","BrandB","188.76","337.73","113735","105","11/26/2024","P_022","5","20",,"2024","11","59"
42,"P_002","Product 002","Sports","BrandC","165.08","307.45","113744","105","11/28/2024","P_002","3","5",,"2024","11","61"
42,"P_029","Product 029","Home","BrandB","316.8","425.97","113728","108","11/12/2024","P_029","5","20",,"2024","11","61"
42,"P_048","Product 048","Sports","BrandA","232.9","350.44","113827","108","11/16/2024","P_048","4","10",,"2024","11","61"
42,"P_050","Product 050","Home","BrandB","202.07","315.93","113766","101","11/17/2024","P_050","5","15",,"2024","11","61"
46,"P_017","Product 017","Home","BrandB","314.84","458.33","113738","107","11/25/2024","P_017","2","0",,"2024","11","64"
47,"P_019","Product 019","Electronics","BrandB","170.91","230.23","113728","103","11/12/2024","P_019","4","5",,"2024","11","68"
47,"P_036","Product 036","Sports","BrandD","115.24","225.27","113758","106","11/23/2024","P_036","4","0",,"2024","11","68"
49,"P_004","Product 004","Sports","BrandC","89.45","155.17","113797","108","11/29/2024","P_004","1","15",,"2024","11","72"
50,"P_011","Product 011","Home","BrandA","63.95","107.43","113750","108","11/27/2024","P_011","5","15",,"2024","11","73"
1,"P_030","Product 030","Home","BrandB","272.48","363.65","114378","108","12/29/2024","P_030","1","5",,"2024","12","20"
2,"P_014","Product 014","Grocery","BrandD","191.33","306.92","114250","102","12/12/2024","P_014","4","20",,"2024","12","24"
3,"P_008","Product 008","Clothing","BrandC","110.44","203.49","114242","104","12/14/2024","P_008","2","20",,"2024","12","27"
3,"P_019","Product 019","Electronics","BrandB","170.91","230.23","114319","103","12/25/2024","P_019","5","15",,"2024","12","27"
3,"P_027","Product 027","Clothing","BrandD","116.38","197.63","114237","107","12/16/2024","P_027","1","15",,"2024","12","27"
6,"P_047","Product 047","Grocery","BrandC","237.02","303.44","114247","104","12/18/2024","P_047","5","0",,"2024","12","30"
7,"P_025","Product 025","Electronics","BrandB","92.74","144.61","114283","102","12/20/2024","P_025","5","15",,"2024","12","31"
8,"P_012","Product 012","Clothing","BrandD","260.56","358.56","114268","107","12/24/2024","P_012","3","0",,"2024","12","32"
8,"P_018","Product 018","Sports","BrandB","285.64","426.52","114259","104","12/11/2024","P_018","5","15",,"2024","12","32"
8,"P_033","Product 033","Home","BrandC","17.69","29.81","114266","105","12/25/2024","P_033","4","15",,"2024","12","32"
8,"P_036","Product 036","Sports","BrandD","115.24","225.27","114231","102","12/8/2024","P_036","1","15",,"2024","12","32"
12,"P_002","Product 002","Sports","BrandC","165.08","307.45","114262","103","12/18/2024","P_002","1","10",,"2024","12","33"
12,"P_050","Product 050","Home","BrandB","202.07","315.93","114265","103","12/10/2024","P_050","4","5",,"2024","12","33"
14,"P_043","Product 043","Home","BrandA","216.59","306.16","114233","108","12/1/2024","P_043","4","5",,"2024","12","34"
15,"P_046","Product 046","Electronics","BrandB","276","472","114230","107","12/25/2024","P_046","5","5",,"2024","12","35"
16,"P_007","Product 007","Clothing","BrandD","133.42","217.47","114249","108","12/20/2024","P_007","1","0",,"2024","12","36"
17,"P_022","Product 022","Sports","BrandB","188.76","337.73","114236","102","12/25/2024","P_022","5","15",,"2024","12","37"
17,"P_028","Product 028","Grocery","BrandB","285.08","486.14","114270","101","12/29/2024","P_028","1","0",,"2024","12","37"
17,"P_037","Product 037","Clothing","BrandB","67.57","108.84","114245","103","12/8/2024","P_037","2","0",,"2024","12","37"
17,"P_048","Product 048","Sports","BrandA","232.9","350.44","114229","104","12/22/2024","P_048","4","0",,"2024","12","37"
21,"P_004","Product 004","Sports","BrandC","89.45","155.17","114251","102","12/27/2024","P_004","5","5",,"2024","12","38"
21,"P_031","Product 031","Clothing","BrandD","69.33","125.63","114248","101","12/18/2024","P_031","2","0",,"2024","12","38"
23,"P_016","Product 016","Grocery","BrandB","183.48","329.03","114252","108","12/5/2024","P_016","1","15",,"2024","12","39"
23,"P_021","Product 021","Grocery","BrandD","112.23","191.7","114246","106","12/31/2024","P_021","5","5",,"2024","12","39"
25,"P_003","Product 003","Clothing","BrandD","95.83","145.24","114232","107","12/24/2024","P_003","2","20",,"2024","12","40"
25,"P_011","Product 011","Home","BrandA","63.95","107.43","114279","102","12/7/2024","P_011","1","10",,"2024","12","40"
25,"P_017","Product 017","Home","BrandB","314.84","458.33","114282","108","12/16/2024","P_017","2","20",,"2024","12","40"
25,"P_040","Product 040","Grocery","BrandA","196.15","286.01","114261","108","12/22/2024","P_040","5","0",,"2024","12","40"
25,"P_049","Product 049","Grocery","BrandD","372.65","441.43","114230","101","12/25/2024","P_049","5","0",,"2024","12","40"
30,"P_010","Product 010","Sports","BrandB","13.81","16.9","114228","107","12/13/2024","P_010","4","15",,"2024","12","42"
30,"P_035","Product 035","Clothing","BrandC","41.43","64.34","114243","104","12/20/2024","P_035","2","15",,"2024","12","42"
32,"P_020","Product 020","Home","BrandB","33.73","56.75","114266","105","12/25/2024","P_020","4","5",,"2024","12","44"
33,"P_013","Product 013","Sports","BrandB","198.67","397.19","114229","104","12/22/2024","P_013","2","20",,"2024","12","45"
33,"P_032","Product 032","Home","BrandB","115.04","135.47","114225","102","12/4/2024","P_032","5","15",,"2024","12","45"
35,"P_034","Product 034","Electronics","BrandD","301.56","358.22","114260","104","12/11/2024","P_034","4","0",,"2024","12","46"
36,"P_001","Product 001","Home","BrandD","291.46","482.98","114308","103","12/13/2024","P_001","5","5",,"2024","12","47"
37,"P_005","Product 005","Sports","BrandD","58.75","90.98","114226","107","12/10/2024","P_005","3","15",,"2024","12","48"
37,"P_042","Product 042","Electronics","BrandD","54.28","78.27","114258","104","12/13/2024","P_042","1","0",,"2024","12","48"
39,"P_006","Product 006","Grocery","BrandA","14.29","17.66","114241","103","12/6/2024","P_006","1","15",,"2024","12","51"
39,"P_015","Product 015","Home","BrandD","281.43","463.89","114239","106","12/16/2024","P_015","2","20",,"2024","12","51"
39,"P_045","Product 045","Grocery","BrandA","68.92","109.5","114229","106","12/22/2024","P_045","3","0",,"2024","12","51"
42,"P_009","Product 009","Clothing","BrandC","96.09","153.81","114231","104","12/8/2024","P_009","4","5",,"2024","12","53"
42,"P_023","Product 023","Home","BrandA","193.9","336.3","114314","101","12/7/2024","P_023","5","10",,"2024","12","53"
44,"P_026","Product 026","Clothing","BrandB","148.98","285.01","114233","104","12/1/2024","P_026","5","0",,"2024","12","54"
45,"P_029","Product 029","Home","BrandB","316.8","425.97","114224","102","12/5/2024","P_029","3","20",,"2024","12","56"
46,"P_038","Product 038","Sports","BrandC","324.13","448.92","114255","104","12/12/2024","P_038","2","10",,"2024","12","57"
47,"P_024","Product 024","Electronics","BrandC","208.42","299.74","114323","105","12/5/2024","P_024","2","0",,"2024","12","58"
48,"P_039","Product 039","Electronics","BrandD","179.34","242.93","114285","105","12/13/2024","P_039","3","0",,"2024","12","59"
49,"P_044","Product 044","Grocery","BrandD","145.03","274.52","114250","102","12/12/2024","P_044","4","0",,"2024","12","62"
50,"P_041","Product 041","Home","BrandB","230.38","350.8","114234","107","12/7/2024","P_041","4","5",,"2024","12","67"
1,"P_048","Product 048","Sports","BrandA","232.9","350.44","110770","101","4/28/2024","P_048","1","20",,"2024","4","21"
2,"P_038","Product 038","Sports","BrandC","324.13","448.92","110649","105","4/29/2024","P_038","3","20",,"2024","4","23"
2,"P_043","Product 043","Home","BrandA","216.59","306.16","110675","105","4/2/2024","P_043","3","10",,"2024","4","23"
2,"P_050","Product 050","Home","BrandB","202.07","315.93","110619","103","4/16/2024","P_050","1","20",,"2024","4","23"
5,"P_002","Product 002","Sports","BrandC","165.08","307.45","110609","102","4/14/2024","P_002","3","20",,"2024","4","28"
6,"P_006","Product 006","Grocery","BrandA","14.29","17.66","110624","102","4/20/2024","P_006","3","15",,"2024","4","29"
7,"P_031","Product 031","Clothing","BrandD","69.33","125.63","110616","106","4/28/2024","P_031","3","15",,"2024","4","30"
8,"P_041","Product 041","Home","BrandB","230.38","350.8","110792","106","4/28/2024","P_041","3","10",,"2024","4","32"
9,"P_008","Product 008","Clothing","BrandC","110.44","203.49","110652","104","4/7/2024","P_008","5","0",,"2024","4","33"
9,"P_039","Product 039","Electronics","BrandD","179.34","242.93","110641","101","4/4/2024","P_039","5","15",,"2024","4","33"
11,"P_001","Product 001","Home","BrandD","291.46","482.98","110629","101","4/23/2024","P_001","2","0",,"2024","4","34"
11,"P_032","Product 032","Home","BrandB","115.04","135.47","110617","105","4/29/2024","P_032","1","10",,"2024","4","34"
11,"P_033","Product 033","Home","BrandC","17.69","29.81","110610","104","4/1/2024","P_033","5","15",,"2024","4","34"
11,"P_036","Product 036","Sports","BrandD","115.24","225.27","110620","101","4/7/2024","P_036","5","15",,"2024","4","34"
15,"P_007","Product 007","Clothing","BrandD","133.42","217.47","110650","101","4/20/2024","P_007","1","20",,"2024","4","35"
16,"P_016","Product 016","Grocery","BrandB","183.48","329.03","110634","104","4/13/2024","P_016","2","0",,"2024","4","36"
17,"P_040","Product 040","Grocery","BrandA","196.15","286.01","110618","103","4/26/2024","P_040","2","5",,"2024","4","37"
18,"P_015","Product 015","Home","BrandD","281.43","463.89","110621","107","4/14/2024","P_015","4","5",,"2024","4","38"
19,"P_004","Product 004","Sports","BrandC","89.45","155.17","110614","103","4/16/2024","P_004","3","0",,"2024","4","39"
19,"P_014","Product 014","Grocery","BrandD","191.33","306.92","110621","108","4/14/2024","P_014","4","10",,"2024","4","39"
19,"P_027","Product 027","Clothing","BrandD","116.38","197.63","110618","107","4/26/2024","P_027","2","5",,"2024","4","39"
22,"P_026","Product 026","Clothing","BrandB","148.98","285.01","110628","104","4/19/2024","P_026","5","5",,"2024","4","40"
23,"P_012","Product 012","Clothing","BrandD","260.56","358.56","110606","108","4/20/2024","P_012","5","20",,"2024","4","42"
23,"P_018","Product 018","Sports","BrandB","285.64","426.52","110617","108","4/29/2024","P_018","1","5",,"2024","4","42"
23,"P_025","Product 025","Electronics","BrandB","92.74","144.61","110608","106","4/16/2024","P_025","3","0",,"2024","4","42"
23,"P_042","Product 042","Electronics","BrandD","54.28","78.27","110714","108","4/4/2024","P_042","1","15",,"2024","4","42"
27,"P_024","Product 024","Electronics","BrandC","208.42","299.74","110635","104","4/27/2024","P_024","4","5",,"2024","4","44"
28,"P_009","Product 009","Clothing","BrandC","96.09","153.81","110606","108","4/20/2024","P_009","1","10",,"2024","4","47"
28,"P_028","Product 028","Grocery","BrandB","285.08","486.14","110652","102","4/7/2024","P_028","2","15",,"2024","4","47"
28,"P_044","Product 044","Grocery","BrandD","145.03","274.52","110625","105","4/8/2024","P_044","4","20",,"2024","4","47"
31,"P_011","Product 011","Home","BrandA","63.95","107.43","110647","103","4/29/2024","P_011","2","15",,"2024","4","49"
31,"P_047","Product 047","Grocery","BrandC","237.02","303.44","110613","104","4/27/2024","P_047","1","20",,"2024","4","49"
33,"P_005","Product 005","Sports","BrandD","58.75","90.98","110630","108","4/7/2024","P_005","5","10",,"2024","4","50"
33,"P_010","Product 010","Sports","BrandB","13.81","16.9","110632","107","4/21/2024","P_010","5","15",,"2024","4","50"
35,"P_019","Product 019","Electronics","BrandB","170.91","230.23","110633","102","4/10/2024","P_019","2","0",,"2024","4","54"
36,"P_035","Product 035","Clothing","BrandC","41.43","64.34","110641","101","4/4/2024","P_035","4","5",,"2024","4","55"
36,"P_037","Product 037","Clothing","BrandB","67.57","108.84","110616","101","4/28/2024","P_037","5","0",,"2024","4","55"
38,"P_030","Product 030","Home","BrandB","272.48","363.65","110615","104","4/12/2024","P_030","5","20",,"2024","4","56"
38,"P_046","Product 046","Electronics","BrandB","276","472","110637","107","4/11/2024","P_046","2","20",,"2024","4","56"
40,"P_049","Product 049","Grocery","BrandD","372.65","441.43","110606","104","4/20/2024","P_049","2","0",,"2024","4","57"
41,"P_003","Product 003","Clothing","BrandD","95.83","145.24","110611","107","4/8/2024","P_003","1","0",,"2024","4","59"
41,"P_020","Product 020","Home","BrandB","33.73","56.75","110607","103","4/16/2024","P_020","1","15",,"2024","4","59"
43,"P_013","Product 013","Sports","BrandB","198.67","397.19","110627","108","4/20/2024","P_013","2","15",,"2024","4","61"
43,"P_023","Product 023","Home","BrandA","193.9","336.3","110656","108","4/3/2024","P_023","1","10",,"2024","4","61"
45,"P_021","Product 021","Grocery","BrandD","112.23","191.7","110645","103","4/20/2024","P_021","4","20",,"2024","4","62"
46,"P_022","Product 022","Sports","BrandB","188.76","337.73","110612","103","4/27/2024","P_022","5","10",,"2024","4","63"
47,"P_017","Product 017","Home","BrandB","314.84","458.33","110618","102","4/26/2024","P_017","1","0",,"2024","4","67"
48,"P_034","Product 034","Electronics","BrandD","301.56","358.22","110613","103","4/27/2024","P_034","5","0",,"2024","4","68"
49,"P_029","Product 029","Home","BrandB","316.8","425.97","110619","107","4/16/2024","P_029","2","5",,"2024","4","72"
50,"P_045","Product 045","Grocery","BrandA","68.92","109.5","110629","108","4/23/2024","P_045","5","0",,"2024","4","82"
1,"P_021","Product 021","Grocery","BrandD","112.23","191.7","111132","104","5/10/2024","P_021","2","10",,"2024","5","20"
1,"P_031","Product 031","Clothing","BrandD","69.33","125.63","111199","101","5/17/2024","P_031","2","0",,"2024","5","20"
3,"P_025","Product 025","Electronics","BrandB","92.74","144.61","111134","107","5/10/2024","P_025","5","20",,"2024","5","22"
4,"P_005","Product 005","Sports","BrandD","58.75","90.98","111138","101","5/22/2024","P_005","2","0",,"2024","5","24"
4,"P_016","Product 016","Grocery","BrandB","183.48","329.03","111152","104","5/26/2024","P_016","1","15",,"2024","5","24"
6,"P_019","Product 019","Electronics","BrandB","170.91","230.23","111154","103","5/29/2024","P_019","2","0",,"2024","5","25"
7,"P_009","Product 009","Clothing","BrandC","96.09","153.81","111119","103","5/31/2024","P_009","3","5",,"2024","5","27"
7,"P_028","Product 028","Grocery","BrandB","285.08","486.14","111108","105","5/9/2024","P_028","1","20",,"2024","5","27"
7,"P_048","Product 048","Sports","BrandA","232.9","350.44","111100","105","5/8/2024","P_048","3","10",,"2024","5","27"
10,"P_003","Product 003","Clothing","BrandD","95.83","145.24","111206","104","5/3/2024","P_003","5","5",,"2024","5","28"
11,"P_038","Product 038","Sports","BrandC","324.13","448.92","111175","108","5/29/2024","P_038","3","15",,"2024","5","29"
12,"P_006","Product 006","Grocery","BrandA","14.29","17.66","111137","101","5/29/2024","P_006","3","20",,"2024","5","30"
12,"P_018","Product 018","Sports","BrandB","285.64","426.52","111103","103","5/19/2024","P_018","4","15",,"2024","5","30"
14,"P_012","Product 012","Clothing","BrandD","260.56","358.56","111218","106","5/27/2024","P_012","1","10",,"2024","5","32"
14,"P_013","Product 013","Sports","BrandB","198.67","397.19","111140","107","5/5/2024","P_013","4","20",,"2024","5","32"
16,"P_026","Product 026","Clothing","BrandB","148.98","285.01","111167","104","5/18/2024","P_026","2","0",,"2024","5","33"
16,"P_041","Product 041","Home","BrandB","230.38","350.8","111112","103","5/20/2024","P_041","4","15",,"2024","5","33"
18,"P_002","Product 002","Sports","BrandC","165.08","307.45","111102","107","5/12/2024","P_002","3","0",,"2024","5","34"
18,"P_032","Product 032","Home","BrandB","115.04","135.47","111183","103","5/14/2024","P_032","3","20",,"2024","5","34"
20,"P_033","Product 033","Home","BrandC","17.69","29.81","111105","105","5/14/2024","P_033","2","0",,"2024","5","36"
20,"P_034","Product 034","Electronics","BrandD","301.56","358.22","111112","106","5/20/2024","P_034","3","10",,"2024","5","36"
22,"P_027","Product 027","Clothing","BrandD","116.38","197.63","111159","108","5/4/2024","P_027","3","5",,"2024","5","37"
23,"P_007","Product 007","Clothing","BrandD","133.42","217.47","111162","105","5/12/2024","P_007","4","0",,"2024","5","38"
24,"P_030","Product 030","Home","BrandB","272.48","363.65","111139","103","5/16/2024","P_030","1","0",,"2024","5","39"
25,"P_036","Product 036","Sports","BrandD","115.24","225.27","111116","101","5/17/2024","P_036","3","0",,"2024","5","40"
26,"P_001","Product 001","Home","BrandD","291.46","482.98","111099","103","5/8/2024","P_001","5","10",,"2024","5","42"
26,"P_017","Product 017","Home","BrandB","314.84","458.33","111104","104","5/27/2024","P_017","1","20",,"2024","5","42"
26,"P_023","Product 023","Home","BrandA","193.9","336.3","111107","107","5/7/2024","P_023","3","20",,"2024","5","42"
29,"P_010","Product 010","Sports","BrandB","13.81","16.9","111101","103","5/27/2024","P_010","1","15",,"2024","5","43"
30,"P_014","Product 014","Grocery","BrandD","191.33","306.92","111204","102","5/6/2024","P_014","4","15",,"2024","5","44"
